   600+ AI Tools,,,
,,,
Name,Category,Website,Description
DraftLab,Email Assistant,https://draftlab.ai,Your Gmail copilot. Write better emails faster. Reach Inbox Zero 10x faster with the DraftLab Chrome extension for Gmail.
SuperReply,Email Assistant,https://superreply.co,Superreply handles all the hard work for writing email responses with its AI powered email response tool. Easily match the tone of voice and choose among best matching emails.
Quicklines,Email Assistant,https://quicklines.ai,"Quicklines automatically creates personalized ice breakers to inject inside cold emails. Upload a CSV, wait 3 minutes, and receive the sheet with lines written. Put those lines into the first sentence of cold emails, and watch your responses increase 3x-7x."
Instantly,Email Assistant,https://instantly.ai,"Instantly helps you generate more replies & more revenue. Scale your outreach campaigns through unlimited email sending accounts, unlimited warmups, and smart AI."
Creatext,Email Assistant,https://creatext.ai,Creatext assists you in researching your prospects and writing hyper-personalized emails & LinkedIn messages in no time.
ChatGPT Writer,Email Assistant,https://chatgptwriter.ai,"Free Chrome extension that uses ChatGPT AI to generate emails or replies based on a few keywords you input. Currently supported for Gmail. Supports all popular languages, simply mention it in the text prompt."
Ortto,Email Assistant,https://ortto.com,"Ortto AI helps you write high performing email subject lines, engaging SMS and email content from just an outline. It’s intelligence that drives results."
Warmer.ai,Email Assistant,https://warmer.ai,Sky rocket your cold emails with unique personalizations generated by AI.
Robin,Email Assistant,https://hellorobin.ai,"Automated cold email outreach, written by GPT. With Robin AI, you can easily and effectively reach out to leads, conduct research, and handle initial outreach - all without the need for a human sales associate."
Magicreach,Email Assistant,https://magicreach.ai,Reach is an outreach personalization and sales enablement tool that generates hyper personalized icebreakers for cold outreach. Faster email personalization that gets replies.
Alethea,Experiments,https://alethea.ai,Alethea AI is working towards enabling the creation of interactive and intelligent NFTs (iNFTs).
Ask My Book,Experiments,https://askmybook.com,"Ask My Book is an AI experiment by Sahil Lavingia, the founder of Gumroad to make his book more accessible. You can use Ask My Book to ask a question and get an answer in his voice."
Talk To Books,"Experiments
",https://books.google.com,A new way to explore ideas and discover books. Make a statement or ask a question to browse passages from books using experimental AI.
VisualHound,Fashion,https://visualhound.com,Prototype your fashion design ideas with AI. Create an infinity of realistic-looking product images to feed your moodboards and boost your design process. Easily visualize your product designs before going to production.
FashionAdvisorAI,Fashion,https://fashionadvisorai.com,Ask Questions & Get Answers from FashionAdvisorAI. It uses artificial intelligence to help you find answers to your fashion queries. Use it to always dress your best.
Cala,Fashion,https://ca.la,"CALA makes it easy to design, produce, and deliver your own fully-custom fashion products. CALA provides everything you could need. Design assistance. Material sourcing. Sampling. With powerful features like in-app notifications, task management, and real-time commenting — so you can maximize productivity in the studio or on the go."
Botika,"Fashion
",https://botika.io,"Botika harnesses the power of generative AI to help online apparel retailers and small businesses reduce the hassle, the cost and the time it takes to create fashion photos, while getting 10x more outputs on a large variety of models."
AskThee,Fun Tools,https://askthee.vercel.app,"Ask a question to a big thinker, artist, or scientist. Currently features personalities like Aristotle, Asimov, Carl Sagan etc."
Unreal Meal,Fun Tools,https://unrealmeal.ai,"A collection of AI-generated images of meals that don't exist. You can use these images for a variety of purposes, such as in the development of new recipes or as part of a creative project."
Tattoos AI,Fun Tools,https://tattoosai.com,"Create the perfect tattoo design with your personal AI-powered tattoo artist If you have an idea for a tattoo but can't find the right design, let our AI generate one within seconds. It lets you create the perfect design based on what you like, and it will give you unlimited options so that there's something for everyone."
ELI5,Fun Tools,https://explainlikeimfive.io,"Explain Like I'm Five (ELI5) is a website that simplifies complex topics using AI so that even a child can understand them. Users can select a specific topic and choose how dumbed-down they want the explanation to be, ranging from ""really dumb"" to ""really smart"". Some examples are - ""How do computers work?"" and ""What is the meaning of life?"""
MovieToEmoji,Fun Tools,https://movietoemoji.netlify.app,A fun app that converts movie names to their corresponding emojis!
Santa AI,Fun Tools,https://santa.artflow.ai,Wanna add some extra magic to the holiday season? Check out the world's first customizable talking Santa - For the first time you can create your own unique Santa video greeting and sharing it with your loved ones!
Supermeme.ai,Fun Tools,https://supermeme.ai,Generate original memes powered by AI in 110+ languages. Step up your meme marketing game with our AI meme generator.
Jokelub,Fun Tools,https://jokelub.com,Turn your writing into a joke at the click of your hand. Make people smile.
Hello History,Fun Tools,https://hellohistory.ai,"You'll be able to have in-depth conversations with some influential and fascinating figures from history. The conversations are generated by AI, so don't take them too seriously. Each conversation is unique and you never know where it will go."
AskNow,"Fun Tools
",https://asknow.ai,"Ask famous personalities anything and get an AI summarised answer with references. Features personalities like Elon Musk, Naval Ravikant, Paul Graham, Serena Williams etc."
Chai,Gaming,https://chai.ml,Mobile app that allows you to build and deploy an AI chatbot to thousands of users. Chat with AI.
AIDungeon,Gaming,https://play.aidungeon.io,Play and create AI-generated adventures with infinite possibilities.
AI Careers,Gaming,https://aicareers.io,AI Job Search Made Easy. Unlocking the potential of data to drive innovation.
PICLY : AI generated spot the difference,Gaming,https://picly.ai,"Easy and Simple. AI-generated Spot the Difference Tap the area you want, AI makes it for you."
EndlessVN,Gaming,https://endlessvn.io,"All stories come to an end. Except this one. Endless Visual Novel is an AI storytelling game where all assets — graphics, music, story and characters — are generated by AI as you play. No two playthroughs will ever be the same."
The Simulation,Gaming,https://fablesimulation.com,"The Simulation is an artificial intelligence-focused metaverse. Powered by sophisticated machine learning, game design, NFTs, and the ERC20 token, $SIM"
Playstrict,Gaming,https://playstrict.com,Let's make your game more successful! You have a great game but don't have the marketing power to scale it up? Take your promotion strategy to the next level with the Playstrict Gaming Growth platform. Are you ready?
LitRPG Adventures,Gaming,https://litrpgadventures.com,Advanced Tabletop RPG Generators + Content Library D&D Backstory Generator? That's not all. Get instant access to over 2 dozen fantasy RPG generators powered by GPT-3 from OpenAI. Members also get access to our growing RPG library full of tabletop RPG content
Hexagram,Gaming,https://hexagram.io,"We Make Ambient Experiences using Artificial Intelligence. Games that use chat, story, and data to blend fiction and reality."
GGPredict,Gaming,https://ggpredict.io,Raise your CS:GO skills with the power of AI-generated training with less than 30 minutes daily.Train smarter. Rank up faster.
AI Roguelite,"Gaming
",https://store.steampowered.com,"World's first RPG in which all entities are AI-generated and all game mechanics are AI-detected. It has AI-generated entities, crafting recipes, combat and illustrations."
Quasi,General Writing,https://quasi.market,"Use AI To Create Art, Code, Music etc."
Writewithlaika,General Writing,https://writewithlaika.com,Magical Machine Learning for Writers
SmartScribe,General Writing,https://smartscribe.app,Writing Just Got Easier... SmartScribe helps solve the complexities of reading and writing through the use of Artificial Intelligence.
nichess,General Writing,https://nichesss.com,"Forget writers block. Get blog posts, ads, social media content, poems, business ideas and more by just clicking a button. Our bots will write everything for you."
Compose,General Writing,https://compose.ai,Compose is a free Chrome extension that lets you automate your writing using AI. We shouldn't be spending 40% of our time typing every day: it's time to change the game.
Text Generator Plugin,General Writing,https://text-gen.com,"Text Generator is an open-source AI Assistant Tool that brings the power of Generative Artificial Intelligence to the power of knowledge creation and organization in Obsidian. For example, use Text Generator to generate ideas, attractive titles, summaries, outlines, and whole paragraphs based on your knowledge database. The possibilities are endless!"
WebCopilot,General Writing,https://webcopilot.co,Write your Notion pages with AI. Just start and let the AI write for you. Speed up your writing process and focus on what matters.
Frase,General Writing,https://frase.io,"Frase offers several useful AI writing tools in categories of copywriting, summarizing, paraphrasing and advertising."
Notion AI,General Writing,https://affiliate.notion.so,"Leverage the limitless power of AI in any Notion page. Write faster, think bigger, and augment creativity. Like magic!"
LanguageTool,General Writing,https://languagetool.org,"LanguageTool corrects spelling mistakes, but it also offers a full writing analysis of all possible texts. In addition to spelling, grammar, and word choice, language style is also corrected. It masters more than 30 languages and dialects, and its main languages are English, Spanish, German, French, Dutch, and Portuguese. In its English version, you can choose between six standard varieties. LanguageTool also offers an A.I.-based rephrasing function in addition to correction. This can help you to rewrite entire sentences to make them simpler, shorter, or more formal."
AIDuh,General Writing,https://aiduh.com,Chrome extension that cuts your writing time by 98% with AI-powered responses.
Writely,General Writing,https://writelyai.com,"Making the art of writing accessible to all. Whether you need to cut down on your words, elaborate further or simply rephrase a sentence, Writely can help!"
Grammarly,General Writing,https://app.grammarly.com,"Write confidently with Grammarly's new AI-powered application. Go beyond grammer and spelling to style and tone with auto suggestions. Works with emails, documents, social media and almost everything."
Proposal Genie,General Writing,https://proposalgenie.ai,"AI-powered tool that helps create professional proposals on Upwork. Easy to use and allows you to create proposals from any device, build a reusable profile, and add optional fields like keywords and tone."
Detect GPT,General Writing,https://chrome.google.com,Find out if the pages you browse contain AI-generated content. Detect GPT scans the content of the webpage you are viewing and analyzes it to identify if any of the content has been generated using the GPT language model.
LuciaAI,General Writing,https://luciaai.com,"An advanced AI writing assistant. Lucia uses the latest and most advanced artificial intelligence technology. With Lucia, you can write faster and better than ever before."
CaliberAI,General Writing,https://caliberai.net,CaliberAI helps minimise your risk of defamation with AI. It flags high-risk content in near real-time and is designed specifically to assist editors and augment human oversight. An API with custom thresholds tailored to your organisation's risk tolerance.
HelloScribe,General Writing,https://helloscribe.ai,BETTER WRITING. BIG IDEAS. MADE EASY. Say Hello to 10x faster writing and brainstorming without creative blocks or wasted time. HelloScribe's easy-to-use AI tools help PR and Marketing Professionals work smarter.
WordAI,General Writing,https://wordai.com,"10x Your Content Output With AI. Use artificial intelligence to cut turnaround time, extend your budget, and create more high-quality content that Google and readers will love."
Wordtune,General Writing,https://wordtune.com,"Wordtune is the ultimate AI writing tool that rewrites, rephrases, and rewords your writing! Trusted by over 1,000,000 users, Wordtune strengthens articles, academic papers, essays, emails and any other online content."
Redacta.me,General Writing,https://redacta.me,"Your virtual Community Manager. Create original Spanish text with Artificial Intelligence quickly, easily, and economically. We have trained the artificial intelligence specifically to write good texts in Spanish."
Othersideai,General Writing,https://othersideai.com,"Your Personal Writing Assistant. HyperWrite/OthersideAI provides suggestions and sentence completions to improve your writing, wherever you write."
Glasp,General Writing,https://glasp.co,"Glasp is a social web highlighter that people can use to highlight and organize quotes and ideas from the web without switching back and forth between screens, and access other like-minded people’s learning at the same time. Leave your digital legacy for humanity, while working for yourself. They also provide a tool that summarizes Youtube videos."
ParagraphAI,General Writing,https://paragraphai.com,"ParagraphAI is an AI Writing App that writes clear, concise, and error-free content."
DREAM.page,General Writing,https://dream.page,Write and publish with the magic of AI! Join the waitlist now.
Maester.app,General Writing,https://maester.app,"Unlock the full potential of GPT-3 with our intuitive Template Engine. Quickly generate custom output tailored to your repeated needs and share them with the world. It can help you out in content management, university & work, and software development."
Elephas,General Writing,https://elephas.app,The only AI writer that integrates with your Mac. Works across applications.
Sudowrite,General Writing,https://sudowrite.com,"Bust writer’s block with our magical writing AI. Your always-available brainstorm buddy. Beta feedback without having to find beta readers. “Show, not tell”? We’ve got a button for that."
Lex,"General Writing
",https://lex.page,Unlock your best writing
HandyPlugins,"General Writing
",https://handyplugins.co,"Handywriter is an AI-powered writing assistant that can help you create content for your WordPress. It can check for plagiarism, and even can fix grammar & spelling errors."
Penelope AI,"General Writing
",https://penelope-ai.vercel.app,"A sophisticated AI writing assistant. Speed up your writing effortlessly - Paraphrase, Summarize, Generate a story or AI autocomplete."
Coverler,"General Writing
",https://coverler.com,AI generator of cover letters for job applications
Giftastic.ai,Gift Ideas,https://giftastic.ai,Giftastic.ai is a personalized gift recommendation engine that uses the personal characteristics of the persons you are shopping for and recommends unique and thoughtful gifts they will love and appreciate.
Gifts Genie,Gift Ideas,https://gen.gifts,Genie is an AI-powered birthday gift ideas generator. No more struggling to come up with the perfect gift - just tell the generator a few things about the person and it's generate gift ideas for you. It aims to take the stress out of gift-giving.
Suggest Gift,Gift Ideas,https://suggest.gift,Are you struggling to find the perfect gift for a loved one? Look no further! Our tool uses the latest AI technology to help you discover the perfect present. Say goodbye to the stress of gift-giving and let our technology do the work for you.
Cool Gift Ideas,Gift Ideas,https://coolgiftideas.io,Give the perfect gift! Discover creative gift ideas for anyone based on who they are.
Elf Help,"Gift Ideas
",https://elfhelp.ai,"Holiday gifting inspo. Elf Help is your ultimate gift-giving assistant, offering creative and personalized suggestions for everyone on your list, all for free."
Whisper AI,Healthcare,https://whisper.ai,"It's an AI-powered hearing aid. With AI, it learns and adjusts to different hearing situations, like a noisy shopping market or family gathering. It provides regular software upgrades from new features to sound processing."
Cradle,Healthcare,https://cradle.bio,Cradle helps biologists design improved proteins in record time using powerful prediction algorithms and AI design suggestions.
SwagAI,Human Resources,https://useslingshot.com,"SwagAI is an AI tool that helps you come up with ridiculous company swag. Just tell us what you’re looking for, and our algorithms will recommend crazy (but sometimes practical) options."
Autumn AI,Human Resources,https://getautumn.com,"Measure burnout and prevent it, without surveys. Autumn connects with the tools you already use, leveraging AI to help you identify early signs of burnout and pick up on patterns like increasing meetings, less frequent 1:1s, or more messages on weekends, across your team. And it's not just data – Autumn helps you take action too! Get 1:1 question prompts delivered before every 1:1, tailored to your team so you don't have to wonder if you're asking the right questions. Team insights are delivered to you weekly and help your team feel connected with no extra effort (or another Zoom social) through fun and interactive weekly summaries in Slack."
Dost,Human Resources,https://getdost.com,"Create safe, bias-free, microaggressions-free, inclusive messages with Dost’s AI-powered Slack and MSTeams app."
GeniusReview,Human Resources,https://geniusreview.xyz,360° AI Performance Reviews. Save tons of hours by using GeniusReview to get tailored answers to your performance review questions.
Moveworks,Human Resources,https://moveworks.com,"Moveworks is the first employee experience platform that uses AI to solve issues and prevent problems at work. It automatically resolves requests, communicates changes, and shows your team what to fix next — letting you turn moments of frustration into moments of magic. And because our conversational AI (chatbot) is fluent in more than 100 languages, Moveworks delivers instant help around the world, from HQ to the home office."
HireYaY,"Human Resources
",https://hireyay.com,Never Miss a Qualified Candidate Again. Create engaging job ads with AI. Distribute to millions of job seekers in one click
JobtitlesAI,"Human Resources
",https://jobtitlesai.com,"Accurately qualify *any* job title. Our machine-learning API sorts job titles into two categories: field (sales, finance, I.T...) and position (executive, management, assistant...) so you can prioritize the ones you're interested in."
Magic Eraser,Image Editing,https://magiceraser.io,"Remove unwanted things from images in seconds. Upload an image, mark the bit you need removed, download the fixed up image."
Photoroom,Image Editing,https://photoroom.com,"Create product and portrait pictures using only your phone. Remove background, change background and showcase products."
Green Screen AI,Image Editing,https://greenscreenai.com,"Green Screen AI lets you change the background of your pictures to whatever you can think of! Using generative AI, you can place your dog in an alien jungle or turn your cat into a space-cowboy."
Nostalgia Photo,Image Editing,https://nostalgia.photo,Nostalgia Photo brings old photos back to life with the latest cutting-edge Artificial Intelligence. Get maximum resolution in a few clicks and a few cents.
RestorePhotos,Image Editing,https://restorephotos.io,Restoring old photos using AI for everyone. Have old and blurry face photos? Let our AI restore them so those memories can live on. 100% free – restore your photos today.
Remove.bg,Image Editing,https://remove.bg,"Remove backgrounds 100% automatically in 5 seconds with one click. Thanks to remove.bg's clever AI, you can slash editing time - and have more fun!"
Perfectly Clear Video,Image Editing,https://eyeq.photos,"Perfectly Clear Video offers instant, automatic photo corrections & video enhancement. It is the world’s leading provider of automatic image correction and AI video enhancement."
AI. Image Enlarger,Image Editing,https://imglarger.com,All-in-one AI toolkits help you enhance and upscale images. Increases image resolution without losing quality.
Bg.Eraser,Image Editing,https://bgeraser.com,Powerful AI Inpainting and Picture Clean Up technology. Remove unwanted objects and watermark in seconds.
Hama - Image Editing,Image Editing,https://hama.app,Erase people or objects from an image in just a second.
Topaz Photo AI,Image Editing,https://topazlabs.com,"Maximize your image quality, on autopilot. Sharpen, remove noise, and increase the resolution of your photos with tomorrow's technology. Topaz Photo Al supercharges your image quality so you can focus on the creative part of photography."
Palette.fm,Image Editing,https://palette.fm,"Colorize Black and White Pictures Automatic, no sign-up, and Free!"
Visio Studio,Image Editing,https://visio.studio,"Advanced background removal tool, powered by computer vision technology. Visio Studio allows you to edit and optimise your pictures directly from your phone."
Evoto AI,Image Editing,https://evoto.ai,"Evoto, a next-generation photo editor that releases you from tedious work, sets you up to get thousands of photos processed at a 10x speed with remarkable quality, and helps you make your imaginations real."
Erase.bg,Image Editing,https://erase.bg,"Remove Background From Images For Free. Remove background from images of humans, animals, or objects, and download high-resolution images for free."
Bria,Image Editing,https://bria.ai,Integrate Bria’s AI-powered API to automate and scale the creation of video and images.
QuickTools by Picsart,Image Editing,https://tools.picsart.com,"With Picsart Quicktools, you have access to a wide range of tools that make it easy to convert file types, create custom calendars, enhance images, and more. All of these tools are conveniently located in one place."
Radiant Photo,"Image Editing
",https://radiantimaginglabs.com,"Your photos deserve to be radiant. Get superior quality finished photos with perfect color rendition, delivered to you in record time. Your photos — simply RADIANT. The way they are meant to be."
Mokker,Image Editing,https://mokker.ai,AI background replacement. Professional product photos instantly
Stable Horde,Image Generator,https://stablehorde.net,A crowdsourced distributed cluster of Stable Diffusion workers. Also provides a client interface requiring no installation and no technical expertise
Go Charlie,Image Generator,https://gocharlie.ai,"Create Images, Blogs, Ads, Website Headlines all with the click of a button."
Stable Diffusion,Image Generator,https://stability.ai,"Stable Diffusion is a deep learning, text-to-image model released in 2022. It is primarily used to generate detailed images conditioned on text descriptions, though it can also be applied to other tasks such as inpainting, outpainting, and generating image-to-image translations guided by a text prompt."
Getimg.ai,Image Generator,https://getimg.ai,"Everything you need to create images with AI. Magical AI art tools. Generate orginal images, modify existing ones, expand pictures beyond its orginal borders, and more."
Aragon - Image Generation,Image Generator,https://aragon.ai,Create stunning art & images 10X faster with AI.
RocketAI,Image Generator,https://rocketai.io,The future of design is programmable. Rocket AI is a SaaS platform to create and edit product images and improve e-commerce sales and advertising performances using AI. We empower e-commerce businesses with AI solutions to improve their product images as well as to generate new ideas and design concepts from a simple text prompt.
Pollinations,Image Generator,https://pollinations.ai,"Pollinations wants to diversify creativity and spread it through digital ecosystems. Whether in image, video or audio, we invite people to imagine new worlds with the help of AI. For companies, our developers write code on top of the latest AI models, providing customized outcomes and specific aesthetics. With the API , AI creation can be integrated directly within websites and social media platforms. Creating gets easy, fast, and fun."
Diffusion Land,Image Generator,https://diffusion.land,Diffusion Land allows you to use various AI models to generate images. They also have several prebuilt concepts that you can use to generate certain types of images.
DallE-2,Image Generator,https://openai.com,"DALL·E 2 can create original, realistic images and art from a text description. It can combine concepts, attributes, and styles."
Getalpaca,Image Generator,https://getalpaca.io,alpaca is a Photoshop Plugin for to combine AI image generation power with human skill.
Canva Text to Image,Image Generator,https://canva.com,Brand-new technology that generates whatever image you describe.
Stock AI,Image Generator,https://stockai.com,"Get the perfect image. Everytime. Find exactly the image you need. And if it doesn't exist, we'll create it for you instantly."
Craiyon,Image Generator,https://craiyon.com,AI model drawing images from any prompt!
Soreal.AI Studio,Image Generator,https://soreal.ai,The easiest way to get started with AI image generation
Imgcreator,Image Generator,https://imgcreator.zmo.ai,Creating images with text. Generate text-based images to help you think and create.
Stylized,Image Generator,https://stylized.ai,Professional product photos in seconds. Stylized uses artificial intelligence to create stunning product photos and editorials - no studio required
Artssy,Image Generator,https://artssy.co,Create unlimited images in 1 click with Artssy AI and discover a world of possibilities. Stop paying for royaty free photos when you can create the perfect image instantly.
Nijijourney,Image Generator,https://nijijourney.com,"NijiJourney AI for the anime fans. The new niji model is tuned with a fine eye to produce anime and illustrative styles. It has vastly more knowledge of anime, anime styles, and anime aesthetics. It's great at dynamic and action shots, and character-focused compositions in general."
Roll Art Die,Image Generator,https://roll-art-die.com,StableDiffusion on your Apple Silicon Devices. Generate AI Artworks using only text. Make your dream artworks into reality. No cloud subscription required.
Dreamer,"Image Generator
",https://slashdreamer.com,Integration Stable Diffusion in Notion to AI generate images with a new slash command.
Enterpix,"Image Generator
",https://enterpix.app,AI-Generated Image Search Engine.
Xno.ai,"Image Generator
",https://xno.ai,Explore 19 top text to image AIs with 39 GPUs.
Spellbook,Legal Assistant,https://spellbook.legal,"Draft contracts 3x faster with AI. Spellbook uses GPT-3 to review and suggest language for your contracts in Microsoft Word. Trained on billions of lines of legalese, Spellbook suggests language for your contracts instantly."
Casetext,Legal Assistant,https://casetext.com,"Modern search technology that finds cases Lexis and Westlaw miss. Don’t run the risk of missing precedent. Get faster, more accurate legal research at an affordable price."
Detangle.ai,Legal Assistant,https://detangle.ai,Detangle gives you AI-generated summaries of your legal docs so you can actually understand them.
Activazon,Legal Assistant,https://activazon.com,"Activazon is crime report analytic service, designed to keep both residents and visitors informed about activities that happen in their neighbourhoods and others."
Legal Robot,Legal Assistant,https://legalrobot.com,Legal advice requires careful analysis of the law and how it applies to a specific situation. Legal Robot provides information generated by automated analysis of your legal documents in relation to other legal documents and case law. We also provide linguistic and statistical analyses that help you understand potential issues in your legal documents.
Ferret,"Legal Assistant
",https://ferret.ai,"Ferret’s unparalleled AI app, combined with world class information, provides you with exclusive relationship intelligence that can help you avoid high-risk individuals and spot promising opportunities."
DoNotPay,"Legal Assistant
",https://donotpay.com,"The World's First Robot Lawyer. The DoNotPay app is the home of the world's first robot lawyer. Fight corporations, beat bureaucracy and sue anyone at the press of a button."
Replika,Life Assistant,https://replika.com,The AI companion who cares. Always here to listen and talk. Always on your side.
Find Your Next Book,Life Assistant,https://findyournextbook.ai,"Find Your Next Book is a book recommendation service for people struggling to decide what to read. Simply describe your desired read in terms of character, setting and/or plot and we'll recommend the best option from our database of thousands of books."
Thekeys,Life Assistant,https://thekeys.ai,"You know what you want to say, you just aren't sure how to say it. Keys helps you say things the right way without changing your intent, or sounding like a bot."
AI Trip Planner,Life Assistant,https://buildai.space,"AI Trip Planner is a global travel planning app that automatically creates a detailed, day-by-day itinerary for users' trips to any destination in the world. All users need to do is specify the length of their trip and their desired destination, and the app will handle the rest"
Caktus,Life Assistant,https://caktus.ai,"AI solutions for students to write essays, discuss questions, general coding help and professional job application help."
JustLearn,Life Assistant,https://justlearn.com,You can create AI friends using Justlearn and speak to them.
BlackInk,Life Assistant,https://blackink.ai,"Create your own unique flash tattoo in seconds. Stop spending months searching Pinterest for your next tattoo. Generate custom, unique tattoos in seconds with BlackInk's AI, designed to create tattoo-like designs just for you."
Write Me A Cover Letter,Life Assistant,https://WriteMeACoverLetter.com,"Generate a cover letter in seconds using AI. Just upload your CV, share a link to the job you want, and we'll do the rest."
TinyWow,Life Assistant,https://tinywow.com,"AI powered utility tools to make your life easier. Most common tools include, PDF, video, image, AI write and converter tools."
Prodigy AI,Life Assistant,https://ai.prodi.gg,"A GPT Career Coach for devs. Get immediate personalized career advice and guidance based on your unique skills, experience, and goals. By AI."
Circle Labs,Life Assistant,https://circle.isyourshadowyou.com,"We make AI that you would actually want to spend time talking to. AI with personality, edges, and corners."
Elektrif AI,"Life Assistant
",https://elektrif.ai,"Be your best self, never run out of things to talk about, and spend more time actually getting to know someone. Elektrif.ai uses GPT3 to generate personalized conversation starters, rephrase your messages to be more engaging, etc."
Resume Worded,"Life Assistant
",https://resumeworded.com,"Improve your resume and LinkedIn profile. Designed by top recruiters, our AI-powered platform instantly gives tailored feedback on your resume and LinkedIn profile. Land 5x more interviews, opportunities, and job offers."
Reggi,"Life Assistant
",https://yfj.social,"Reggi helps you keep track of your purchases and budget in real-time store, applying the correct taxes and fees to your subtotal as you shop. An overally stress free shopping experience."
Brandmark,Logo Generator,https://brandmark.io,"Create a unique, professional logo for your business. Use our free AI-powered design tools to get color and font ideas for your next logo project."
Looka,Logo Generator,https://looka.grsm.io,Looka Logo Maker combines your logo design preferences with Artificial Intelligence to help you create a custom logo you'll love.
Make Logo AI,Logo Generator,https://makelogoai.com,Designer-quality logos for less than a coffee. HD + transparent background. Delivered in less than 24 hours. Commercial ri
Namecheap Logo Maker,Logo Generator,https://namecheap.com,Simply answer a handful of questions and get hundreds of logos to download for free.
Sitekick,Low-code/no-code,https://sitekick.ai,"Sitekick is an AI landing page builder. It allows you to create beautiful landing pages without the need for coding, design or copywriting skills."
Robovision.ai,Low-code/no-code,https://robovision.ai,"Make dynamic vision AI that works. Robovision offers a vision AI platform that covers the full AI life cycle. Streamline the entire process of developing, implementing and adapting AI in today’s ever-changing business environment."
Dust,Low-code/no-code,https://dust.tt,"Design and Deploy Large Language Model Apps. Prompt engineering, re-imagined🔥 Built on years of experience working with large language models. With one goal, help accelerate their deployment."
Neon AI,Low-code/no-code,https://neon.ai,"Create state-of-the-art voice applications with Neon AI's enabling technologies. The Neon AI SDK integrates advanced AI and Natural Language Understanding into a cohesive software engineering platform. Think Amazon Alexa, Google Home, Apple Siri and Microsoft Cortana - with free open source software. They also have an AI OS for Mycroft Mark II listed on their website."
VWO,Low-code/no-code,https://vwo.com,Turn your visitors into paying customers. Set up your first experiment right away.
Durable AI,Low-code/no-code,https://durable.ai,"We’re on a mission to transform access to custom software using explainable AI capable of human-level reasoning and dialogue. We envision a future where custom, flexible, and durable software is democratized and accessible to everyone."
Teleporthq,Low-code/no-code,https://teleporthq.io,TeleportHQ is the collaborative front-end platform with integrated UI development and content modelling tools. A powerful visual builder to create and publish your headless static websites instantly.
Debuild,Low-code/no-code,https://debuild.app,Build web apps lightning fast.
Monitaur,Low-code/no-code,https://monitaur.ai,"Get documented, ethical AI that scales for your business. Monitaur helps you audit, track, and record real-time outcomes of your AI and algorithms for optimal performance and compliance. Our platform is designed to integrate with every team that touches your AI."
Teachable Machine,Low-code/no-code,https://teachablemachine.withgoogle.com,"Teachable Machine is a web-based tool that makes creating machine learning models fast, easy, and accessible to everyone. It's meant to be used by educators, artists, students, innovators, makers of all kinds – really, anyone who has an idea they want to explore. No prerequisite machine learning knowledge required."
Brancher AI,Low-code/no-code,https://brancher.ai,Making AI accessible to all by giving users the ability connect AI models together and produce unique AI-powered app. Monetize & share your creations with the world.
Axiom,Low-code/no-code,https://axiom.ai,Axiom is a browser extension that helps you save time by automating website actions and repetitive tasks on any website or web app.
Roboflow,Low-code/no-code,https://roboflow.com,"Give your software a sense of sight. With a few images, you can train a working computer vision model in the afternoon."
Nanonets,Low-code/no-code,https://nanonets.com,"Automate Manual Data Entry Using AI! Capture data from documents, text, images, and emails instantly. Reduce turnaround times and the manual effort required. OCR (Optical Character Recognition)-based AI platform."
Lobe,Low-code/no-code,https://lobe.ai,"Lobe helps you train machine learning models with a free, easy-to-use tool. It Just show it examples of what you want it to learn, and it automatically trains a custom machine-learning model that can be shipped in your app."
Liner.ai,Low-code/no-code,https://liner.ai,Liner is a free tool that lets you train your ML models easily. It takes your training data and gives you an easy-to-integrate ML model. No coding or expertise in machine learning required.
Cogniflow,Low-code/no-code,https://cogniflow.ai,"The easiest way to build AI from text, image, or audio. In minutes. No code required."
Build AI,Low-code/no-code,https://buildai.space,"Build AI helps you build AI apps in minutes. You will be able to build an app and publish it completely by yourself. You will be able to update it as you see fit, including improving and refining your prompts to make your app the best it can be"
Felvin,Low-code/no-code,https://felvin.com,"Felvin enables non-devs to create, discover and monetize AI apps. Our no-code tool makes it easy for you to create AI apps and put them on an SEO-optimized gallery for discovery."
Seek,Low-code/no-code,https://seek.ai,"The intelligent data layer. Ask your data anything and get answers, instantly"
Lightning AI,Low-code/no-code,https://lightning.ai,"Build models and full-stack AI apps, lightning fast. Build models and AI-powered cloud applications using Lightning App templates without DIY infrastructure, cost management, scaling, and other headaches."
Browse AI,Low-code/no-code,https://browse.ai,The easiest way to extract and monitor data from any website. Train a robot in 2 minutes. No coding required.
Softr Studio,Low-code/no-code,https://softr.io,"Build custom apps for your business, as easy as lego. Generate images and copy within Softr with just one click using their AI. Turn your Airtable or Google Sheets into client portals, partner apps or internal tools."
Symanto Text Insights,Low-code/no-code,https://symanto.com,Market Leading NLP API. Leverage text data for better business insights with real-time analysis and simple system integration.
Mutiny,Low-code/no-code,https://mutinyhq.com,"Mutiny is a no-code AI platform that helps marketers convert their top of funnel demand into revenue, without engineers."
Zevi.ai,Low-code/no-code,https://zevi.ai,"Improve business outcomes with an AI-driven search and discovery solution Guide your prospects from discovery to conversions with an intent-focused, easy-to-integrate website search engine that helps boost engagement and sales"
Riku.ai,Low-code/no-code,https://riku.ai,"Empowering you to build AI models without code. Use AI through integrations, API, or public share links. Accessible AI for everyone."
